Site_code_LR,Occ_laufnr,Yearocc
NLr149,1628,1999
NLr149,1634,2002
NLr149,1632,1997
NLr149,1631,1998
NLr149,1627,2002
NLr149,1629,2005
NLr149,1633,2003
NLr149,1625,2003
NLr149,1637,2004
NLr149,2260,2005
NLr149,2253,1997
NLr149,2258,2006
NLr149,2245,1997
NLr149,2247,2002
NLr149,2251,1998
NLr149,2248,2000
NLr149,2256,2000
NLr149,2255,2002
NLr149,2244,1998
NLr149,2250,2005
NLr149,2252,2004
NLr149,2259,2004
NLr149,2246,2003
NLr149,2254,2003
NLr149,2257,1999
NLr149,2249,1999
NLr136,1572,2000
NLr136,1568,2003
NLr136,1567,2004
NLr136,1570,2002
NLr136,1576,2003
NLr136,1571,2000
NLr136,1574,2004
NLr136,1581,1999
NLr136,1580,1999
NLr136,1578,2002
NLr136,1582,2005
NLr136,1569,1997
NLr136,1577,1997
NLr136,1573,1999
NLr136,1579,2000
NLr136,1575,1998
NLr136,1566,1998
NLr136,2183,2001
NLr136,2185,2000
NLr136,2186,2000
NLr136,2192,1997
NLr136,2181,1997
NLr136,2188,2006
NLr136,2198,2005
NLr136,2197,2006
NLr136,2180,1998
NLr136,2195,2000
NLr136,2191,1998
NLr136,2184,2002
NLr136,2182,2003
NLr136,2190,2004
NLr136,2189,2005
NLr136,2194,2002
NLr136,2179,2004
NLr136,2193,2003
NLr136,2196,1999
NLr136,2187,1999
NLr137,1585,1997
NLr137,1584,2004
NLr137,1591,2005
NLr137,1587,2001
NLr137,1593,1998
NLr137,1594,1997
NLr137,1588,2002
NLr137,1592,2004
NLr137,1586,2002
NLr137,1601,2005
NLr137,1599,2006
NLr137,1589,2000
NLr137,1595,2003
NLr137,1590,1999
NLr137,2211,1997
NLr137,2208,2006
NLr137,1598,1999
NLr137,2202,1997
NLr137,2217,1999
NLr137,2210,2004
NLr137,2207,1999
NLr137,2213,2003
NLr137,1583,1998
NLr137,2216,2000
NLr137,2219,2005
NLr137,2215,2002
NLr137,2200,1998
NLr137,2212,1998
NLr137,2205,2002
NLr137,1596,2002
NLr137,2206,2000
NLr137,2218,2006
NLr137,2203,2003
NLr137,2199,2004
NLr137,2209,2005
NLr137,1597,2000
NLr137,1600,2004
NLr137,2204,2001
NLr137,2201,2003
NLr137,2214,2001
NLr127,1543,2003
NLr127,1544,2003
NLr127,2149,2001
NLr127,2145,2005
NLr127,2152,2000
NLr127,2139,2001
NLr127,2142,2006
NLr127,2143,2005
NLr127,2150,2002
NLr127,2154,2006
NLr127,2136,1997
NLr127,2137,2002
NLr127,2146,1997
NLr127,2147,1998
NLr127,2135,1998
NLr127,2155,2005
NLr127,2151,2000
NLr127,2153,1999
NLr127,2156,2004
NLr127,2140,2000
NLr127,2148,2003
NLr127,2138,2003
NLr127,2144,2004
NLr127,2141,1999
NLr125,1538,2004
NLr125,1542,2004
NLr125,1535,2002
NLr125,1539,2002
NLr125,1540,2006
NLr125,1536,2006
NLr125,1541,2005
NLr125,2132,2006
NLr125,1537,2005
NLr125,2125,2006
NLr125,2127,2003
NLr125,2128,2002
NLr125,2130,2000
NLr125,2126,2005
NLr125,2120,2002
NLr125,2121,2003
NLr125,2133,2005
NLr125,2123,2000
NLr125,2119,1998
NLr125,2134,2004
NLr125,2131,1999
NLr125,2124,1999
NLr125,2129,2001
NLr125,2122,2001
SK44,4818,2007
SK40,4814,2007
SK41,4815,2007
SK45,4819,2007
SK39,4813,2007
SK51,4825,2007
SK52,4826,2007
SK46,4820,2007
SK49,4823,2007
SK42,4816,2007
SK38,4812,2007
SK48,4822,2007
SK50,4824,2007
SK47,4821,2007
SK43,4817,2007
DELRT004,3392,2007
PL_NAR01,2573,1999
PL_NAR04_SO,2576,1999
HU85,4602,2007
HU84,4601,2007
HU86,4603,2007
HU88,4605,2007
HU87,4604,2007
HU488,4567,2007
HU479,4558,2007
HU487,4566,2007
HU92,4609,2007
HU480,4559,2007
HU485,4564,2007
HU484,4563,2007
HU482,4561,2007
HU483,4562,2007
HU91,4608,2007
HU489,4568,2007
HU486,4565,2007
HU89,4606,2007
HU90,4607,2007
HU481,4560,2007
DELRT016,3708,1997
DELRT016,3709,1997
DELRT016,3710,1997
DELRT016,3711,1997
DELRT016,3712,1998
DELRT016,3713,1998
DELRT016,3714,1998
DELRT016,3715,1999
DELRT016,3717,2000
DELRT016,3718,2000
DELRT016,3716,1999
DELRT016,3702,2002
DELRT016,3703,2002
DELRT016,3701,2001
